collection,lesson,lesson_url,lesson_size
flexing-your-fluency,advanced-audio-blog-s2-6-top-10-vietnamese-leaders-trung-sisters,https://mdn.illops.net/vietnamesepod101/A_S2L6_080912_vpod101.mp3,3.834003448486328
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-7-setting-up-a-meeting-room-in-vietnam,-1,0.0
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-9-getting-to-the-airport-in-vietnam,-1,0.0
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-8-ordering-office-supplies-in-vietnamese,-1,0.0
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-10-talking-to-a-supplier-in-vietnamese,-1,0.0
flexing-your-fluency,advanced-audio-blog-s2-4-top-10-vietnamese-tourist-destinations-mui-ne,https://mdn.illops.net/vietnamesepod101/A_S2L4_072612_vpod101.mp3,4.197523117065431
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-6-deciding-on-a-hotel-in-vietnam,-1,0.0
flexing-your-fluency,advanced-audio-blog-s2-3-top-10-vietnamese-tourist-destinations-nha-trang,https://mdn.illops.net/vietnamesepod101/A_S2L3_071912_vpod101.mp3,4.408361434936523
flexing-your-fluency,advanced-audio-blog-s2-5-top-10-vietnamese-tourist-destinations-cat-ba-island,https://mdn.illops.net/vietnamesepod101/A_S2L5_080212_vpod101.mp3,4.3099279403686515
flexing-your-fluency,advanced-audio-blog-s2-2-top-10-vietnamese-tourist-destinations-phong-nhake-bang-national-park,https://mdn.illops.net/vietnamesepod101/A_S2L2_071212_vpod101.mp3,4.543485641479492
flexing-your-fluency,advanced-audio-blog-24-top-10-vietnamese-tourist-destinations-thien-mu-pagoda,https://mdn.illops.net/vietnamesepod101/A_S1L24_061412_vpod101.mp3,4.44005012512207
flexing-your-fluency,advanced-audio-blog-s2-1-top-10-vietnamese-tourist-destinations-my-son-sanctuary,https://mdn.illops.net/vietnamesepod101/A_S2L1_070512_vpod101.mp3,4.3117218017578125
flexing-your-fluency,advanced-audio-blog-25-top-10-vietnamese-tourist-destinations-ha-long-bay,https://mdn.illops.net/vietnamesepod101/A_S1L25_062112_vpod101.mp3,4.532723426818848
